id,act,section,title,content,keywords,replaces
BNS_1,Bharatiya Nyaya Sanhita 2023,1,Bharatiya Nyaya Sanhita 2023 Section 1,"This is placeholder legal text for Bharatiya Nyaya Sanhita 2023 section 1. It describes provisions, procedures, or offences under the law.","criminal law, offence",IPC 1
BNS_2,Bharatiya Nyaya Sanhita 2023,2,Bharatiya Nyaya Sanhita 2023 Section 2,"This is placeholder legal text for Bharatiya Nyaya Sanhita 2023 section 2. It describes provisions, procedures, or offences under the law.","criminal law, offence",IPC 2
BNS_3,Bharatiya Nyaya Sanhita 2023,3,Bharatiya Nyaya Sanhita 2023 Section 3,"This is placeholder legal text for Bharatiya Nyaya Sanhita 2023 section 3. It describes provisions, procedures, or offences under the law.","criminal law, offence",IPC 3
BNS_4,Bharatiya Nyaya Sanhita 2023,4,Bharatiya Nyaya Sanhita 2023 Section 4,"This is placeholder legal text for Bharatiya Nyaya Sanhita 2023 section 4. It describes provisions, procedures, or offences under the law.","criminal law, offence",IPC 4
BNS_5,Bharatiya Nyaya Sanhita 2023,5,Bharatiya Nyaya Sanhita 2023 Section 5,"This is placeholder legal text for Bharatiya Nyaya Sanhita 2023 section 5. It describes provisions, procedures, or offences under the law.","criminal law, offence",IPC 5
BNS_6,Bharatiya Nyaya Sanhita 2023,6,Bharatiya Nyaya Sanhita 2023 Section 6,"This is placeholder legal text for Bharatiya Nyaya Sanhita 2023 section 6. It describes provisions, procedures, or offences under the law.","criminal law, offence",IPC 6
BNS_7,Bharatiya Nyaya Sanhita 2023,7,Bharatiya Nyaya Sanhita 2023 Section 7,"This is placeholder legal text for Bharatiya Nyaya Sanhita 2023 section 7. It describes provisions, procedures, or offences under the law.","criminal law, offence",IPC 7
BNS_8,Bharatiya Nyaya Sanhita 2023,8,Bharatiya Nyaya Sanhita 2023 Section 8,"This is placeholder legal text for Bharatiya Nyaya Sanhita 2023 section 8. It describes provisions, procedures, or offences under the law.","criminal law, offence",IPC 8
BNS_9,Bharatiya Nyaya Sanhita 2023,9,Bharatiya Nyaya Sanhita 2023 Section 9,"This is placeholder legal text for Bharatiya Nyaya Sanhita 2023 section 9. It describes provisions, procedures, or offences under the law.","criminal law, offence",IPC 9
BNS_10,Bharatiya Nyaya Sanhita 2023,10,Bharatiya Nyaya Sanhita 2023 Section 10,"This is placeholder legal text for Bharatiya Nyaya Sanhita 2023 section 10. It describes provisions, procedures, or offences under the law.","criminal law, offence",IPC 10
BNS_11,Bharatiya Nyaya Sanhita 2023,11,Bharatiya Nyaya Sanhita 2023 Section 11,"This is placeholder legal text for Bharatiya Nyaya Sanhita 2023 section 11. It describes provisions, procedures, or offences under the law.","criminal law, offence",IPC 11
BNS_12,Bharatiya Nyaya Sanhita 2023,12,Bharatiya Nyaya Sanhita 2023 Section 12,"This is placeholder legal text for Bharatiya Nyaya Sanhita 2023 section 12. It describes provisions, procedures, or offences under the law.","criminal law, offence",IPC 12
BNS_13,Bharatiya Nyaya Sanhita 2023,13,Bharatiya Nyaya Sanhita 2023 Section 13,"This is placeholder legal text for Bharatiya Nyaya Sanhita 2023 section 13. It describes provisions, procedures, or offences under the law.","criminal law, offence",IPC 13
BNS_14,Bharatiya Nyaya Sanhita 2023,14,Bharatiya Nyaya Sanhita 2023 Section 14,"This is placeholder legal text for Bharatiya Nyaya Sanhita 2023 section 14. It describes provisions, procedures, or offences under the law.","criminal law, offence",IPC 14
BNS_15,Bharatiya Nyaya Sanhita 2023,15,Bharatiya Nyaya Sanhita 2023 Section 15,"This is placeholder legal text for Bharatiya Nyaya Sanhita 2023 section 15. It describes provisions, procedures, or offences under the law.","criminal law, offence",IPC 15
BNS_16,Bharatiya Nyaya Sanhita 2023,16,Bharatiya Nyaya Sanhita 2023 Section 16,"This is placeholder legal text for Bharatiya Nyaya Sanhita 2023 section 16. It describes provisions, procedures, or offences under the law.","criminal law, offence",IPC 16
BNS_17,Bharatiya Nyaya Sanhita 2023,17,Bharatiya Nyaya Sanhita 2023 Section 17,"This is placeholder legal text for Bharatiya Nyaya Sanhita 2023 section 17. It describes provisions, procedures, or offences under the law.","criminal law, offence",IPC 17
BNS_18,Bharatiya Nyaya Sanhita 2023,18,Bharatiya Nyaya Sanhita 2023 Section 18,"This is placeholder legal text for Bharatiya Nyaya Sanhita 2023 section 18. It describes provisions, procedures, or offences under the law.","criminal law, offence",IPC 18
BNS_19,Bharatiya Nyaya Sanhita 2023,19,Bharatiya Nyaya Sanhita 2023 Section 19,"This is placeholder legal text for Bharatiya Nyaya Sanhita 2023 section 19. It describes provisions, procedures, or offences under the law.","criminal law, offence",IPC 19
BNS_20,Bharatiya Nyaya Sanhita 2023,20,Bharatiya Nyaya Sanhita 2023 Section 20,"This is placeholder legal text for Bharatiya Nyaya Sanhita 2023 section 20. It describes provisions, procedures, or offences under the law.","criminal law, offence",IPC 20
BNS_21,Bharatiya Nyaya Sanhita 2023,21,Bharatiya Nyaya Sanhita 2023 Section 21,"This is placeholder legal text for Bharatiya Nyaya Sanhita 2023 section 21. It describes provisions, procedures, or offences under the law.","criminal law, offence",IPC 21
BNS_22,Bharatiya Nyaya Sanhita 2023,22,Bharatiya Nyaya Sanhita 2023 Section 22,"This is placeholder legal text for Bharatiya Nyaya Sanhita 2023 section 22. It describes provisions, procedures, or offences under the law.","criminal law, offence",IPC 22
BNS_23,Bharatiya Nyaya Sanhita 2023,23,Bharatiya Nyaya Sanhita 2023 Section 23,"This is placeholder legal text for Bharatiya Nyaya Sanhita 2023 section 23. It describes provisions, procedures, or offences under the law.","criminal law, offence",IPC 23
BNS_24,Bharatiya Nyaya Sanhita 2023,24,Bharatiya Nyaya Sanhita 2023 Section 24,"This is placeholder legal text for Bharatiya Nyaya Sanhita 2023 section 24. It describes provisions, procedures, or offences under the law.","criminal law, offence",IPC 24
BNS_25,Bharatiya Nyaya Sanhita 2023,25,Bharatiya Nyaya Sanhita 2023 Section 25,"This is placeholder legal text for Bharatiya Nyaya Sanhita 2023 section 25. It describes provisions, procedures, or offences under the law.","criminal law, offence",IPC 25
BNS_26,Bharatiya Nyaya Sanhita 2023,26,Bharatiya Nyaya Sanhita 2023 Section 26,"This is placeholder legal text for Bharatiya Nyaya Sanhita 2023 section 26. It describes provisions, procedures, or offences under the law.","criminal law, offence",IPC 26
BNS_27,Bharatiya Nyaya Sanhita 2023,27,Bharatiya Nyaya Sanhita 2023 Section 27,"This is placeholder legal text for Bharatiya Nyaya Sanhita 2023 section 27. It describes provisions, procedures, or offences under the law.","criminal law, offence",IPC 27
BNS_28,Bharatiya Nyaya Sanhita 2023,28,Bharatiya Nyaya Sanhita 2023 Section 28,"This is placeholder legal text for Bharatiya Nyaya Sanhita 2023 section 28. It describes provisions, procedures, or offences under the law.","criminal law, offence",IPC 28
BNS_29,Bharatiya Nyaya Sanhita 2023,29,Bharatiya Nyaya Sanhita 2023 Section 29,"This is placeholder legal text for Bharatiya Nyaya Sanhita 2023 section 29. It describes provisions, procedures, or offences under the law.","criminal law, offence",IPC 29
BNS_30,Bharatiya Nyaya Sanhita 2023,30,Bharatiya Nyaya Sanhita 2023 Section 30,"This is placeholder legal text for Bharatiya Nyaya Sanhita 2023 section 30. It describes provisions, procedures, or offences under the law.","criminal law, offence",IPC 30
BNS_31,Bharatiya Nyaya Sanhita 2023,31,Bharatiya Nyaya Sanhita 2023 Section 31,"This is placeholder legal text for Bharatiya Nyaya Sanhita 2023 section 31. It describes provisions, procedures, or offences under the law.","criminal law, offence",IPC 31
BNS_32,Bharatiya Nyaya Sanhita 2023,32,Bharatiya Nyaya Sanhita 2023 Section 32,"This is placeholder legal text for Bharatiya Nyaya Sanhita 2023 section 32. It describes provisions, procedures, or offences under the law.","criminal law, offence",IPC 32
BNS_33,Bharatiya Nyaya Sanhita 2023,33,Bharatiya Nyaya Sanhita 2023 Section 33,"This is placeholder legal text for Bharatiya Nyaya Sanhita 2023 section 33. It describes provisions, procedures, or offences under the law.","criminal law, offence",IPC 33
BNS_34,Bharatiya Nyaya Sanhita 2023,34,Bharatiya Nyaya Sanhita 2023 Section 34,"This is placeholder legal text for Bharatiya Nyaya Sanhita 2023 section 34. It describes provisions, procedures, or offences under the law.","criminal law, offence",IPC 34
BNS_35,Bharatiya Nyaya Sanhita 2023,35,Bharatiya Nyaya Sanhita 2023 Section 35,"This is placeholder legal text for Bharatiya Nyaya Sanhita 2023 section 35. It describes provisions, procedures, or offences under the law.","criminal law, offence",IPC 35
